epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,721.041,1.00898,0.92028,1.16836,0.5033,0.38993,0.43799,0.3364,1.3202,2.09604,1.39774,0.000529212,0.000529212,0.000529212
43,738.229,1.02125,0.90775,1.16311,0.46006,0.47314,0.44276,0.33257,1.34026,2.03917,1.40518,0.000521024,0.000521024,0.000521024
44,755.318,1.01733,0.88868,1.1608,0.43023,0.48448,0.43245,0.31662,1.37097,2.08297,1.46872,0.000512726,0.000512726,0.000512726
45,772.472,0.98991,0.86124,1.14801,0.4493,0.48228,0.40732,0.3045,1.35721,2.2121,1.41729,0.000504323,0.000504323,0.000504323
46,789.513,0.98644,0.85447,1.14511,0.42095,0.44817,0.37517,0.29065,1.36684,2.21144,1.43694,0.000495822,0.000495822,0.000495822
47,806.527,0.99033,0.86893,1.14915,0.43851,0.46208,0.41813,0.32618,1.34391,2.14526,1.42494,0.000487228,0.000487228,0.000487228
48,823.684,0.97134,0.84526,1.13818,0.44314,0.43137,0.39541,0.29665,1.35441,2.16156,1.44464,0.000478547,0.000478547,0.000478547
49,840.601,0.96238,0.82481,1.13574,0.5115,0.42426,0.41126,0.312,1.33953,2.11729,1.43746,0.000469786,0.000469786,0.000469786
50,857.527,0.98299,0.82201,1.13046,0.51878,0.4418,0.42466,0.32177,1.32836,2.20246,1.41775,0.00046095,0.00046095,0.00046095
51,874.408,0.94464,0.7968,1.1213,0.48932,0.45755,0.45334,0.35504,1.31004,2.06133,1.391,0.000452044,0.000452044,0.000452044
52,891.461,0.94803,0.78874,1.12621,0.43484,0.46274,0.4225,0.3153,1.34817,2.22492,1.43837,0.000443077,0.000443077,0.000443077
53,908.617,0.95203,0.79165,1.11707,0.47746,0.49036,0.43999,0.33415,1.35765,2.05695,1.43235,0.000434052,0.000434052,0.000434052
54,925.643,0.94038,0.78973,1.12093,0.5053,0.41198,0.41877,0.31937,1.36741,2.19127,1.42806,0.000424978,0.000424978,0.000424978
