epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1021.42,1.00893,1.16263,1.23476,0.35301,0.44006,0.32803,0.23239,1.40958,2.235,1.55824,0.000529212,0.000529212,0.000529212
43,1045.68,1.00476,1.14951,1.22721,0.35446,0.4618,0.33232,0.23512,1.47099,2.26415,1.59453,0.000521024,0.000521024,0.000521024
44,1069.67,1.00029,1.12687,1.22478,0.3778,0.45205,0.33433,0.23939,1.44114,2.24602,1.55399,0.000512726,0.000512726,0.000512726
45,1093.84,0.98407,1.1156,1.20834,0.37965,0.45354,0.34339,0.25302,1.4165,2.26282,1.52829,0.000504323,0.000504323,0.000504323
46,1117.97,0.97946,1.0914,1.20644,0.35481,0.49462,0.33451,0.23934,1.44503,2.28603,1.56436,0.000495822,0.000495822,0.000495822
47,1142.06,0.97191,1.07031,1.20491,0.35618,0.50306,0.35399,0.2506,1.41644,2.31661,1.54909,0.000487228,0.000487228,0.000487228
48,1166.07,0.95926,1.04992,1.1842,0.35672,0.46313,0.34169,0.24139,1.4554,2.36632,1.57602,0.000478547,0.000478547,0.000478547
49,1190.17,0.95192,1.02868,1.1849,0.35144,0.47959,0.33092,0.23198,1.44736,2.34543,1.5578,0.000469786,0.000469786,0.000469786
50,1214.24,0.94769,1.01867,1.17982,0.3678,0.49073,0.34847,0.24347,1.42211,2.30847,1.54961,0.00046095,0.00046095,0.00046095
51,1238.15,0.93974,0.99469,1.177,0.35777,0.4946,0.33651,0.24248,1.44763,2.38515,1.56054,0.000452044,0.000452044,0.000452044
52,1262.23,0.92719,0.97299,1.16968,0.36404,0.50146,0.35023,0.25482,1.41649,2.35277,1.54409,0.000443077,0.000443077,0.000443077
53,1286.39,0.91308,0.94416,1.15798,0.3489,0.4832,0.33261,0.23512,1.44378,2.37222,1.56782,0.000434052,0.000434052,0.000434052
54,1310.49,0.92152,0.93986,1.16038,0.36111,0.46093,0.32539,0.23587,1.43892,2.37356,1.56611,0.000424978,0.000424978,0.000424978
55,1334.96,0.90071,0.91304,1.14533,0.36422,0.45745,0.33639,0.24263,1.46302,2.37363,1.58954,0.000415859,0.000415859,0.000415859
56,1358.99,0.90267,0.91054,1.1482,0.34904,0.49198,0.35027,0.25415,1.44407,2.42992,1.5743,0.000406702,0.000406702,0.000406702
57,1382.81,0.88399,0.89329,1.14051,0.39029,0.47277,0.3473,0.25033,1.43852,2.37455,1.57418,0.000397513,0.000397513,0.000397513
58,1406.57,0.88147,0.87513,1.13733,0.40018,0.42047,0.33121,0.24024,1.43988,2.48744,1.57195,0.0003883,0.0003883,0.0003883
59,1430.59,0.8669,0.85618,1.12316,0.41247,0.4634,0.36666,0.27047,1.41605,2.35338,1.55122,0.000379067,0.000379067,0.000379067
60,1454.63,0.86777,0.85396,1.1214,0.36208,0.50204,0.3632,0.26921,1.4116,2.30433,1.55067,0.000369822,0.000369822,0.000369822
61,1478.33,0.86121,0.83481,1.122,0.38269,0.44426,0.34954,0.25148,1.45322,2.41811,1.60084,0.00036057,0.00036057,0.00036057
62,1502.27,0.85149,0.82261,1.11135,0.37576,0.48114,0.35629,0.2635,1.4431,2.40361,1.57729,0.000351318,0.000351318,0.000351318
